"state","county","tract","GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME","P002001ERR"
"17","097","861202","1400000US17097861202",4069,4069,4069,0,0,0,"Census Tract 8612.02, Lake County, Illinois",NA
"17","031","818700","1400000US17031818700",3625,3625,3625,0,0,0,"Census Tract 8187, Cook County, Illinois",NA
"17","163","503906","1400000US17163503906",5471,3703,1158,2545,1768,0,"Census Tract 5039.06, St. Clair County, Illinois",NA
"17","031","830600","1400000US17031830600",5005,5005,5005,0,0,0,"Census Tract 8306, Cook County, Illinois",NA
"17","031","805201","1400000US17031805201",3406,3406,3406,0,0,0,"Census Tract 8052.01, Cook County, Illinois",NA
"17","031","630900","1400000US17031630900",5363,5363,5363,0,0,0,"Census Tract 6309, Cook County, Illinois",NA
"17","153","971000","1400000US17153971000",3028,0,0,0,3028,0,"Census Tract 9710, Pulaski County, Illinois",NA
"17","081","050500","1400000US17081050500",3703,2732,0,2732,971,0,"Census Tract 505, Jefferson County, Illinois",NA
"17","031","310200","1400000US17031310200",1336,1336,1336,0,0,0,"Census Tract 3102, Cook County, Illinois",NA
"17","043","844305","1400000US17043844305",3871,3871,3871,0,0,0,"Census Tract 8443.05, DuPage County, Illinois",NA
"17","163","503904","1400000US17163503904",10394,9840,9840,0,554,0,"Census Tract 5039.04, St. Clair County, Illinois",NA
"17","201","003708","1400000US17201003708",2964,2964,2964,0,0,0,"Census Tract 37.08, Winnebago County, Illinois",NA
"17","163","504302","1400000US17163504302",7818,5254,5055,199,2564,0,"Census Tract 5043.02, St. Clair County, Illinois",NA
"17","163","504600","1400000US17163504600",2229,2229,2229,0,0,0,"Census Tract 5046, St. Clair County, Illinois",NA
"17","179","021202","1400000US17179021202",3379,3379,3379,0,0,0,"Census Tract 212.02, Tazewell County, Illinois",NA
"17","197","881800","1400000US17197881800",4049,4049,4049,0,0,0,"Census Tract 8818, Will County, Illinois",NA
"17","031","817300","1400000US17031817300",2653,2653,2653,0,0,0,"Census Tract 8173, Cook County, Illinois",NA
"17","199","020900","1400000US17199020900",4361,2881,2783,98,1480,0,"Census Tract 209, Williamson County, Illinois",NA
"17","031","260800","1400000US17031260800",2539,2539,2539,0,0,0,"Census Tract 2608, Cook County, Illinois",NA
"17","031","160400","1400000US17031160400",4768,4768,4768,0,0,0,"Census Tract 1604, Cook County, Illinois",NA
"17","031","570100","1400000US17031570100",1257,1257,1257,0,0,0,"Census Tract 5701, Cook County, Illinois",NA
"17","141","961300","1400000US17141961300",5262,469,0,469,4793,0,"Census Tract 9613, Ogle County, Illinois",NA
"17","031","161100","1400000US17031161100",1861,1861,1861,0,0,0,"Census Tract 1611, Cook County, Illinois",NA
"17","031","810701","1400000US17031810701",4916,4916,4916,0,0,0,"Census Tract 8107.01, Cook County, Illinois",NA
"17","031","251800","1400000US17031251800",5112,5112,5112,0,0,0,"Census Tract 2518, Cook County, Illinois",NA
"17","031","520300","1400000US17031520300",6215,6215,6215,0,0,0,"Census Tract 5203, Cook County, Illinois",NA
"17","093","890102","1400000US17093890102",13081,11739,11739,0,1342,0,"Census Tract 8901.02, Kendall County, Illinois",NA
"17","197","880111","1400000US17197880111",3742,3742,3742,0,0,0,"Census Tract 8801.11, Will County, Illinois",NA
"17","119","403300","1400000US17119403300",3102,3102,3102,0,0,0,"Census Tract 4033, Madison County, Illinois",NA
"17","031","824115","1400000US17031824115",3920,3920,3920,0,0,0,"Census Tract 8241.15, Cook County, Illinois",NA
"17","201","002100","1400000US17201002100",2063,2063,2063,0,0,0,"Census Tract 21, Winnebago County, Illinois",NA
"17","031","839800","1400000US17031839800",2730,2730,2730,0,0,0,"Census Tract 8398, Cook County, Illinois",NA
"17","031","010400","1400000US17031010400",5042,5042,5042,0,0,0,"Census Tract 104, Cook County, Illinois",NA
"17","119","403101","1400000US17119403101",5885,5211,5211,0,674,0,"Census Tract 4031.01, Madison County, Illinois",NA
"17","031","816000","1400000US17031816000",3330,3330,3330,0,0,0,"Census Tract 8160, Cook County, Illinois",NA
"17","031","220601","1400000US17031220601",1766,1766,1766,0,0,0,"Census Tract 2206.01, Cook County, Illinois",NA
"17","097","861303","1400000US17097861303",4972,4972,4972,0,0,0,"Census Tract 8613.03, Lake County, Illinois",NA
"17","031","720400","1400000US17031720400",1924,1924,1924,0,0,0,"Census Tract 7204, Cook County, Illinois",NA
"17","119","401100","1400000US17119401100",6505,6505,6505,0,0,0,"Census Tract 4011, Madison County, Illinois",NA
"17","053","961900","1400000US17053961900",1762,22,0,22,1740,0,"Census Tract 9619, Ford County, Illinois",NA
"17","089","852903","1400000US17089852903",5525,5525,5525,0,0,0,"Census Tract 8529.03, Kane County, Illinois",NA
"17","031","530600","1400000US17031530600",3207,3207,3207,0,0,0,"Census Tract 5306, Cook County, Illinois",NA
"17","031","836100","1400000US17031836100",1761,1761,1761,0,0,0,"Census Tract 8361, Cook County, Illinois",NA
"17","031","230700","1400000US17031230700",6364,6364,6364,0,0,0,"Census Tract 2307, Cook County, Illinois",NA
"17","097","862901","1400000US17097862901",3766,3766,3766,0,0,0,"Census Tract 8629.01, Lake County, Illinois",NA
"17","197","883211","1400000US17197883211",6193,6037,6037,0,156,0,"Census Tract 8832.11, Will County, Illinois",NA
"17","115","000200","1400000US17115000200",2737,2737,2737,0,0,0,"Census Tract 2, Macon County, Illinois",NA
"17","063","000400","1400000US17063000400",5473,5434,0,5434,39,0,"Census Tract 4, Grundy County, Illinois",NA
"17","111","870704","1400000US17111870704",3865,3865,3865,0,0,0,"Census Tract 8707.04, McHenry County, Illinois",NA
"17","031","071700","1400000US17031071700",1652,1652,1652,0,0,0,"Census Tract 717, Cook County, Illinois",NA
"17","099","963400","1400000US17099963400",3999,3793,0,3793,206,0,"Census Tract 9634, LaSalle County, Illinois",NA
"17","043","842702","1400000US17043842702",4598,4598,4598,0,0,0,"Census Tract 8427.02, DuPage County, Illinois",NA
"17","031","824113","1400000US17031824113",6562,6562,6562,0,0,0,"Census Tract 8241.13, Cook County, Illinois",NA
"17","037","001500","1400000US17037001500",3807,3609,3609,0,198,0,"Census Tract 15, DeKalb County, Illinois",NA
"17","031","050700","1400000US17031050700",1418,1418,1418,0,0,0,"Census Tract 507, Cook County, Illinois",NA
"17","197","883208","1400000US17197883208",3106,3106,3106,0,0,0,"Census Tract 8832.08, Will County, Illinois",NA
