"COUNTYFP","TRACT","pm","label_cause","age_group_id","rr"
55,1200,19.5,"resp_copd","all ages",1.21432292641919
55,1300,19.43,"resp_copd","all ages",1.20418645957133
55,1400,18.83,"resp_copd","all ages",1.20418645957133
55,1500,18.38,"resp_copd","all ages",1.19399361954659
55,1600,17.49,"resp_copd","all ages",1.18374363205913
55,1700,17.44,"resp_copd","all ages",1.18374363205913
55,10100,16.53,"resp_copd","all ages",1.18374363205913
55,10200,17.38,"resp_copd","all ages",1.18374363205913
55,10300,16.37,"resp_copd","all ages",1.1734357228231
55,10400,16.27,"resp_copd","all ages",1.1734357228231
55,10501,15.95,"resp_copd","all ages",1.1734357228231
55,10502,16.39,"resp_copd","all ages",1.1734357228231
55,10600,17.34,"resp_copd","all ages",1.18374363205913
55,10700,17.56,"resp_copd","all ages",1.19399361954659
55,10800,16.29,"resp_copd","all ages",1.1734357228231
55,10900,16.5,"resp_copd","all ages",1.18374363205913
55,11000,15.69,"resp_copd","all ages",1.1734357228231
55,11100,15.58,"resp_copd","all ages",1.1734357228231
57,20000,15.38,"resp_copd","all ages",1.16306911755268
57,20100,15.24,"resp_copd","all ages",1.16306911755268
57,20200,15.33,"resp_copd","all ages",1.16306911755268
57,20300,15.55,"resp_copd","all ages",1.1734357228231
57,20400,15.93,"resp_copd","all ages",1.1734357228231
59,972900,15.91,"resp_copd","all ages",1.1734357228231
59,973000,14.88,"resp_copd","all ages",1.16306911755268
59,973100,14.61,"resp_copd","all ages",1.16306911755268
59,973200,14.65,"resp_copd","all ages",1.16306911755268
59,973300,14.89,"resp_copd","all ages",1.16306911755268
59,973400,14.05,"resp_copd","all ages",1.15264304196203
59,973500,14.16,"resp_copd","all ages",1.15264304196203
59,973600,14.23,"resp_copd","all ages",1.15264304196203
59,973700,14.42,"resp_copd","all ages",1.15264304196203
61,50100,15.11,"resp_copd","all ages",1.16306911755268
61,50200,15.41,"resp_copd","all ages",1.16306911755268
61,50300,15.31,"resp_copd","all ages",1.16306911755268
61,50400,14.76,"resp_copd","all ages",1.16306911755268
61,50500,14.84,"resp_copd","all ages",1.16306911755268
61,50600,14.7,"resp_copd","all ages",1.16306911755268
63,60000,15.07,"resp_copd","all ages",1.16306911755268
63,60100,15.47,"resp_copd","all ages",1.16306911755268
63,60200,15.45,"resp_copd","all ages",1.16306911755268
65,40000,15.29,"resp_copd","all ages",1.16306911755268
65,40100,15.76,"resp_copd","all ages",1.1734357228231
65,40200,15.48,"resp_copd","all ages",1.16306911755268
65,40300,15.72,"resp_copd","all ages",1.1734357228231
65,40400,15.92,"resp_copd","all ages",1.1734357228231
65,40500,16.16,"resp_copd","all ages",1.1734357228231
67,30100,14.61,"resp_copd","all ages",1.16306911755268
67,30200,14.86,"resp_copd","all ages",1.16306911755268
67,30300,14.65,"resp_copd","all ages",1.16306911755268
67,30400,14.78,"resp_copd","all ages",1.16306911755268
67,30500,14.11,"resp_copd","all ages",1.15264304196203
67,30600,14.96,"resp_copd","all ages",1.16306911755268
69,40100,14.81,"resp_copd","all ages",1.16306911755268
69,40201,15.75,"resp_copd","all ages",1.1734357228231
69,40202,14.97,"resp_copd","all ages",1.16306911755268
69,40300,14.84,"resp_copd","all ages",1.16306911755268
69,40400,16.77,"resp_copd","all ages",1.18374363205913
69,40500,16.64,"resp_copd","all ages",1.18374363205913
69,40600,16.76,"resp_copd","all ages",1.18374363205913
69,40700,16.46,"resp_copd","all ages",1.1734357228231
69,40800,15.05,"resp_copd","all ages",1.16306911755268
69,40900,14.74,"resp_copd","all ages",1.16306911755268
69,41000,15.9,"resp_copd","all ages",1.1734357228231
69,41100,16.27,"resp_copd","all ages",1.1734357228231
69,41200,16.53,"resp_copd","all ages",1.18374363205913
69,41400,15.47,"resp_copd","all ages",1.16306911755268
69,41500,14.59,"resp_copd","all ages",1.16306911755268
69,41600,14.68,"resp_copd","all ages",1.16306911755268
69,41700,15.06,"resp_copd","all ages",1.16306911755268
69,41800,15.19,"resp_copd","all ages",1.16306911755268
69,41900,14.83,"resp_copd","all ages",1.16306911755268
69,42000,14.63,"resp_copd","all ages",1.16306911755268
69,42100,14.67,"resp_copd","all ages",1.16306911755268
71,950100,14.28,"resp_copd","all ages",1.15264304196203
71,950200,16,"resp_copd","all ages",1.1734357228231
71,950300,15.06,"resp_copd","all ages",1.16306911755268
71,950400,13.92,"resp_copd","all ages",1.15264304196203
71,950500,15.32,"resp_copd","all ages",1.16306911755268
71,950600,15.56,"resp_copd","all ages",1.1734357228231
71,950700,15.97,"resp_copd","all ages",1.1734357228231
71,950800,17.14,"resp_copd","all ages",1.18374363205913
71,950900,16.05,"resp_copd","all ages",1.1734357228231
71,951000,14.44,"resp_copd","all ages",1.15264304196203
71,951100,14.94,"resp_copd","all ages",1.16306911755268
73,100,16.81,"resp_copd","all ages",1.18374363205913
73,300,18.1,"resp_copd","all ages",1.19399361954659
73,400,18.53,"resp_copd","all ages",1.20418645957133
73,500,18.6,"resp_copd","all ages",1.20418645957133
73,700,18.69,"resp_copd","all ages",1.20418645957133
73,800,18.34,"resp_copd","all ages",1.19399361954659
73,1100,17.77,"resp_copd","all ages",1.19399361954659
73,1200,18.61,"resp_copd","all ages",1.20418645957133
73,1400,18.52,"resp_copd","all ages",1.20418645957133
73,1500,18.7,"resp_copd","all ages",1.20418645957133
73,1600,18.59,"resp_copd","all ages",1.20418645957133
73,1902,18.18,"resp_copd","all ages",1.19399361954659
73,2000,16.68,"resp_copd","all ages",1.18374363205913
73,2100,16.27,"resp_copd","all ages",1.1734357228231
73,2200,17,"resp_copd","all ages",1.18374363205913
73,2303,17.59,"resp_copd","all ages",1.19399361954659
73,2305,18.29,"resp_copd","all ages",1.19399361954659
73,2306,17.8,"resp_copd","all ages",1.19399361954659
73,2400,18.67,"resp_copd","all ages",1.20418645957133
73,2700,18.89,"resp_copd","all ages",1.20418645957133
73,2900,18.52,"resp_copd","all ages",1.20418645957133
73,3001,18.52,"resp_copd","all ages",1.20418645957133
73,3002,18.48,"resp_copd","all ages",1.19399361954659
73,3100,18.5,"resp_copd","all ages",1.20418645957133
73,3200,18.41,"resp_copd","all ages",1.19399361954659
73,3300,18.38,"resp_copd","all ages",1.19399361954659
73,3400,18.4,"resp_copd","all ages",1.19399361954659
73,3500,17.81,"resp_copd","all ages",1.19399361954659
73,3600,18.39,"resp_copd","all ages",1.19399361954659
73,3700,18.34,"resp_copd","all ages",1.19399361954659
73,3802,18.24,"resp_copd","all ages",1.19399361954659
73,3803,18.28,"resp_copd","all ages",1.19399361954659
73,3900,18.2,"resp_copd","all ages",1.19399361954659
73,4000,18.41,"resp_copd","all ages",1.19399361954659
73,4200,18.55,"resp_copd","all ages",1.20418645957133
73,4500,18.61,"resp_copd","all ages",1.20418645957133
73,4701,18.43,"resp_copd","all ages",1.19399361954659
73,4702,17.22,"resp_copd","all ages",1.18374363205913
73,4800,18.17,"resp_copd","all ages",1.19399361954659
73,4900,18.42,"resp_copd","all ages",1.19399361954659
73,5000,18.5,"resp_copd","all ages",1.20418645957133
73,5101,18.44,"resp_copd","all ages",1.19399361954659
73,5102,18.46,"resp_copd","all ages",1.19399361954659
73,5200,18.4,"resp_copd","all ages",1.19399361954659
73,5302,16.15,"resp_copd","all ages",1.1734357228231
73,5500,18.24,"resp_copd","all ages",1.19399361954659
73,5600,17.54,"resp_copd","all ages",1.19399361954659
73,5701,18.08,"resp_copd","all ages",1.19399361954659
73,5702,18.52,"resp_copd","all ages",1.20418645957133
73,5800,18.44,"resp_copd","all ages",1.19399361954659
73,5903,16.55,"resp_copd","all ages",1.18374363205913
73,5905,16.97,"resp_copd","all ages",1.18374363205913
73,5906,16.95,"resp_copd","all ages",1.18374363205913
73,5907,17.14,"resp_copd","all ages",1.18374363205913
73,5908,17.63,"resp_copd","all ages",1.19399361954659
73,10001,16.79,"resp_copd","all ages",1.18374363205913
73,10002,17.47,"resp_copd","all ages",1.18374363205913
73,10100,18.54,"resp_copd","all ages",1.20418645957133
73,10200,18.4,"resp_copd","all ages",1.19399361954659
73,10301,17.08,"resp_copd","all ages",1.18374363205913
73,10302,17.74,"resp_copd","all ages",1.19399361954659
73,10401,17.4,"resp_copd","all ages",1.18374363205913
73,10402,18,"resp_copd","all ages",1.19399361954659
73,10500,16.98,"resp_copd","all ages",1.18374363205913
73,10602,18.41,"resp_copd","all ages",1.19399361954659
73,10603,18.4,"resp_copd","all ages",1.19399361954659
73,10701,18.71,"resp_copd","all ages",1.20418645957133
73,10702,18.48,"resp_copd","all ages",1.19399361954659
73,10703,18.25,"resp_copd","all ages",1.19399361954659
73,10704,18.14,"resp_copd","all ages",1.19399361954659
73,10705,18.34,"resp_copd","all ages",1.19399361954659
73,10706,18.15,"resp_copd","all ages",1.19399361954659
73,10801,17.07,"resp_copd","all ages",1.18374363205913
73,10802,17.39,"resp_copd","all ages",1.18374363205913
73,10803,16.93,"resp_copd","all ages",1.18374363205913
73,10804,16.86,"resp_copd","all ages",1.18374363205913
73,10805,16.42,"resp_copd","all ages",1.1734357228231
73,10900,18.74,"resp_copd","all ages",1.20418645957133
73,11000,16.21,"resp_copd","all ages",1.1734357228231
73,11103,15.15,"resp_copd","all ages",1.16306911755268
73,11104,16.08,"resp_copd","all ages",1.1734357228231
73,11106,15.89,"resp_copd","all ages",1.1734357228231
73,11107,16.02,"resp_copd","all ages",1.1734357228231
73,11205,16.52,"resp_copd","all ages",1.18374363205913
73,11206,16.11,"resp_copd","all ages",1.1734357228231
73,11207,16.7,"resp_copd","all ages",1.18374363205913
73,11208,16.5,"resp_copd","all ages",1.18374363205913
73,11209,17.09,"resp_copd","all ages",1.18374363205913
73,11210,16.8,"resp_copd","all ages",1.18374363205913
73,11300,17.31,"resp_copd","all ages",1.18374363205913
73,11400,16.91,"resp_copd","all ages",1.18374363205913
73,11500,16.98,"resp_copd","all ages",1.18374363205913
73,11600,16.77,"resp_copd","all ages",1.18374363205913
73,11703,16.99,"resp_copd","all ages",1.18374363205913
73,11704,16.83,"resp_copd","all ages",1.18374363205913
73,11705,16.56,"resp_copd","all ages",1.18374363205913
73,11706,16.51,"resp_copd","all ages",1.18374363205913
73,11802,16.6,"resp_copd","all ages",1.18374363205913
73,11803,17.13,"resp_copd","all ages",1.18374363205913
73,11804,16.87,"resp_copd","all ages",1.18374363205913
73,11901,16.85,"resp_copd","all ages",1.18374363205913
73,11902,17.06,"resp_copd","all ages",1.18374363205913
73,11903,16.82,"resp_copd","all ages",1.18374363205913
73,12001,16.63,"resp_copd","all ages",1.18374363205913
73,12002,17.01,"resp_copd","all ages",1.18374363205913
73,12103,16.84,"resp_copd","all ages",1.18374363205913
73,12104,16.78,"resp_copd","all ages",1.18374363205913
