"label_cause","censMeta.variable","pafs","Census_Region"
"resp_copd","PCT012J111",0.01430881101763,1
"resp_copd","PCT012J103",0.00507304690687851,1
"resp_copd","PCT012J104",0,1
"resp_copd","PCT012J101",0,1
"resp_copd","PCT012J102",0.0136569657435345,1
"resp_copd","PCT012J107",NA,1
"resp_copd","PCT012J108",0.0193229488212869,1
"resp_copd","PCT012J105",0,1
"resp_copd","PCT012J100",0.0135772524792059,1
"resp_copd","PCT012J158",0.0186158783081651,1
"resp_copd","PCT012J159",NA,1
"resp_copd","PCT012J156",0.0166867358100184,1
"resp_copd","PCT012J157",0.0135103564395771,1
"resp_copd","PCT012J150",0.0154205673802113,1
"resp_copd","PCT012J151",0.00990355678230015,1
"resp_copd","PCT012J154",0.0211953960552484,1
"resp_copd","PCT012J155",0.0157174072506509,1
"resp_copd","PCT012J152",0.0172626768888107,1
"resp_copd","PCT012J153",0.016777998349872,1
"resp_copd","PCT012J147",0.0218639917976599,1
"resp_copd","PCT012J148",0.0202391560735962,1
"resp_copd","PCT012J145",0.0197100821068873,1
"resp_copd","PCT012J146",NA,1
"resp_copd","PCT012J149",0.0174557868962997,1
"resp_copd","PCT012J140",0.0173254473861611,1
"resp_copd","PCT012J143",0.0179157491516655,1
"resp_copd","PCT012J144",0.0136533092900812,1
"resp_copd","PCT012J141",0.0221384747829409,1
"resp_copd","PCT012J142",0.0145052400137275,1
"resp_copd","PCT012J136",0.0177713068468918,1
"resp_copd","PCT012J137",0.0168618693490722,1
"resp_copd","PCT012J134",0.0191973599869933,1
"resp_copd","PCT012J135",0.0194863831622991,1
"resp_copd","PCT012J138",0.0104551425426224,1
"resp_copd","PCT012J139",0.0175952107267863,1
"resp_copd","PCT012J132",0.0145301899260557,1
"resp_copd","PCT012J133",NA,1
"resp_copd","PCT012J130",0.0167485410875337,1
"resp_copd","PCT012J131",0.0129607723625716,1
"resp_copd","PCT012J125",0.00957932966655421,1
"resp_copd","PCT012J126",0.0169205715786983,1
"resp_copd","PCT012J123",0.0162858856347629,1
"resp_copd","PCT012J124",0.0151293486264635,1
"resp_copd","PCT012J129",0.0121222773281961,1
"resp_copd","PCT012J127",0.0179956191024718,1
"resp_copd","PCT012J128",0.0175356310736294,1
"resp_copd","PCT012J121",0.0215781906465403,1
"resp_copd","PCT012J122",0.0202276961546534,1
"resp_copd","PCT012J120",NA,1
"resp_copd","PCT012J037",0.0152708037655301,1
"resp_copd","PCT012J038",0.0215672605569422,1
"resp_copd","PCT012J035",0.0213249726996362,1
"resp_copd","PCT012J036",0.0196423689451712,1
"resp_copd","PCT012J039",0.0129732841569758,1
"resp_copd","PCT012J030",0.0187801025229124,1
"resp_copd","PCT012J033",0.0122657408519264,1
"resp_copd","PCT012J034",0.0204387128588209,1
"resp_copd","PCT012J031",0.0176567737929588,1
"resp_copd","PCT012J032",0.0153520443134924,1
"resp_copd","PCT012J026",0.0141237725843364,1
